country_id|country_code|institution_id|institution|department_id|department|author|contrib_title|doc_type|doc_date|event_name|all_authors|authors|disciplines|skillsExpertise|author_url|contrib_url
3|AR|235|Universidad Austral Buenos Aires|8|Departamento de Ingeniería en Informática|Gabriela Robiolo|Employing use cases to early estimate effort with simpler metrics|Article|April 2008|Innovations in Systems and Software Engineering|true|[ Gabriela Robiolo#Ricardo Orosco ]|[ Software Engineering ]|[ Software Development#Project Management#Software Engineering#Agile Software Development#Software#Software Analysis#Requirements Engineering#Agile Methodologies#Software Metrics#Software Maintenance ]|https://www.researchgate.net/profile/Gabriela_Robiolo|https://www.researchgate.net/publication/220245895_Employing_use_cases_to_early_estimate_effort_with_simpler_metrics?_sg=nF-leEqXA2HOnMqGgTgrKnISZyBAYsyk_1_JOxvoO6uFKcjVk3UJ7a2a0fIIMKxvp5FGk879_QBamyufmZ_srudaswTFcEjRMRTzTBze.XBnuLChHHwKJssNkxONDAvYCwSmM3dXWP1NMaVdVC3kxczFoDwSKNSBQB43EcCqNMpOvaW_-T4ZTiAuJ9_r5wQ
3|AR|235|Universidad Austral Buenos Aires|8|Departamento de Ingeniería en Informática|Gabriela Robiolo|An Alternative Method Employing Uses Cases for Early Effort Estimation|Conference Paper|January 2007|Software Engineering Workshop, 2007. SEW 2007. 31st IEEE|true|[ Gabriela Robiolo#Ricardo Orosco ]|[ Software Engineering ]|[ Software Development#Project Management#Software Engineering#Agile Software Development#Software#Software Analysis#Requirements Engineering#Agile Methodologies#Software Metrics#Software Maintenance ]|https://www.researchgate.net/profile/Gabriela_Robiolo|https://www.researchgate.net/publication/4298828_An_Alternative_Method_Employing_Uses_Cases_for_Early_Effort_Estimation?_sg=nF-leEqXA2HOnMqGgTgrKnISZyBAYsyk_1_JOxvoO6uFKcjVk3UJ7a2a0fIIMKxvp5FGk879_QBamyufmZ_srudaswTFcEjRMRTzTBze.XBnuLChHHwKJssNkxONDAvYCwSmM3dXWP1NMaVdVC3kxczFoDwSKNSBQB43EcCqNMpOvaW_-T4ZTiAuJ9_r5wQ
3|AR|235|Universidad Austral Buenos Aires|8|Departamento de Ingeniería en Informática|Mauricio Ruffo| | | | |false|[  ]|Labor Statistics#Econometrics#Behavioural Economics#Information Systems (Business Informatics)#Distributed Computing#Data Mining|SQL|https://www.researchgate.net/profile/Mauricio_Ruffo| 
3|AR|235|Universidad Austral Buenos Aires|8|Departamento de Ingeniería en Informática|Nicolas Schejtman| | | | |false|[  ]||[ ]|https://www.researchgate.net/profile/Nicolas_Schejtman| 
3|AR|235|Universidad Austral Buenos Aires|8|Departamento de Ingeniería en Informática|Andrés Scoccimarro| | | | |false|[  ]||[ ]|https://www.researchgate.net/profile/Andres_Scoccimarro| 
3|AR|235|Universidad Austral Buenos Aires|8|Departamento de Ingeniería en Informática|Rafael Serebrinsky| | | | |false|[  ]|Artificial Intelligence#Data Mining|Machine Learning|https://www.researchgate.net/profile/Rafael_Serebrinsky| 
3|AR|235|Universidad Austral Buenos Aires|8|Departamento de Ingeniería en Informática|Pamela Denise Timpani| | | | |false|[  ]||Machine Learning#Classification#Feature Extraction#Data Mining and Knowledge Discovery#Feature Selection#Prediction#Machine Intelligence|https://www.researchgate.net/profile/Pamela_Timpani| 
3|AR|235|Universidad Austral Buenos Aires|8|Departamento de Ingeniería en Informática|Nicolas Velazquez Bustamante| | | | |false|[  ]|Artificial Neural Network#Artificial Intelligence#Algorithms#Molecular Biology#Neuroscience#Genetics#Observational Astronomy#Astrophysics#Astronomy|Machine Learning#Pattern Recognition#Data Mining and Knowledge Discovery#Astronomy & Astrophysics#Extragalactic Astronomy#Photometry#Star Formation#Optical Astronomy#Galaxy Evolution#Stellar Astrophysics|https://www.researchgate.net/profile/Nicolas_Velazquez_Bustamante| 
3|AR|235|Universidad Austral Buenos Aires|8|Departamento de Ingeniería en Informática|Marcelo Villegas| | | | |false|[  ]|Computer Engineering|Information and Communication Technology#Information Technology#Cloud Computing#Communication & Signal Processing#Information System Management#Knowledge Management#Information Management#Social Network Analysis#Business Intelligence#Business Process Management|https://www.researchgate.net/profile/Marcelo_Villegas2| 
3|AR|235|Universidad Austral Buenos Aires|8|Departamento de Ingeniería en Informática|Martin Volpacchio| | | | |false|[  ]|Artificial Neural Network#Algorithms#Artificial Intelligence#Statistics#Probability Theory#Applied Mathematics|Machine Learning#Classification#Pattern Recognition#Data Analysis#Statistical Analysis#Data Mining and Knowledge Discovery#R Statistical Package#Data Science#Cluster Analysis#Data Processing and Computer Science|https://www.researchgate.net/profile/Martin_Volpacchio| 
3|AR|235|Universidad Austral Buenos Aires|8|Departamento de Ingeniería en Informática|Belen Williams| | | | |false|[  ]|Data Mining|Machine Learning#Classification#Data Mining and Knowledge Discovery|https://www.researchgate.net/profile/Belen_Williams| 
3|AR|236|Universidad CAECE, Buenos Aires|3|Department of Mathematics|Gabriel Taboada| | | | |false|[  ]||[ ]|https://www.researchgate.net/profile/Gabriel_Taboada2| 
